nome;unidade;
POLVILHO AZEDO KG;KG;
POLVILHO DOCE KG;KG;
FARINHA DE UVA KG;KG;
FARIN DE LINHACA DOURADA KG;KG;
FARINHA DE LINHACA MARROM KG;KG;
FARIN DE GRAO DE BICO KG;KG;
FARINHA DE COCO KG;KG;
FARINHA DE MACA KG;KG;
FARINHA DE CHIA KG;KG;
FARIN CAST DE CAJU KG;KG;
FARINHA DE AMENDOIM KG;KG;
AMIDO DE MILHO KG;KG;
FARINHA DE CENTEIO KG;KG;
FARINHA DE TRIGO SARRACENO KG;KG;
FARIN DE ARROZ MOTI KG;KG;
FARINHA DE AVEIA KG;KG;
FARELO DE AVEIA KG;KG;
FARINHA DE ARROZ BRANCA KG;KG;
COOKIES BANANA AVEIA ZERO KG;KG;
FARINHA DE MACA PERUANA KG;KG;
FARINHA DE BERINJELA KG;KG;
FARINHA DE SEMOLINA GR. DURO 1KG RENATA;UN;
FARINHA DE MANDIOCA TIPO1 1KG ZAYA;UN;
FARINHA DE SEMENTE DE ABOBORA KG;KG;
FARINHA ESPINAFRE KG;KG;
FARINHA DE MARACUJA KG;KG;
FARINHA DE BANANA VERDE KG;KG;
POLVILHO CARIMAN DE NINHO KG;KG;
BISC POLVILHO NATURAL KG;KG;
FARIN AMENDOA CRUA ESPAN 100% KG;KG;
FARIN PANKO KG;KG;
FARINHA DE TRIGO DIA A DIA 1KG RENATA;UN;
FARINHA TRIGO Tipo1 1kg   RENATA;UN;
FARIN DE TEMPURA KG;KG;
FARINHA DE ROSCA KG;KG;
FARINHA DE SEMOLINA KG;KG;
FARINHA ESPECIAL S/ GLUTEN BELADRI 1KG;UN;
GOMA XANTANA KG;KG;
GARRI (FARIN MAND FINA TORR) KG;KG;
FARIN DE MANDIOCA FINA TOR KG;KG;
FARINHA DE LIMAO KG;KG;
FARIN DE MILHO AMARELA KG;KG;
FARINHA DE SOJA KG;KG;
FARIN COPIOBA (MANDIOCA AMARELA) KG;KG;
FARIN SUBS OVO - VEGANA KG;KG;
FARINHA DE BATATA DOCE KG;KG;
COOKIES AVEIA E MEL KG;KG;
MIX PRATICO DE FARINHAS 1kg SCHAR;UN;
AVEIA FLOCOS LAMINADA KG;KG;
AVEIA FLOCOS FINOS KG;KG;
FARINHA DE MILHO BRANC KG;KG;
FARINHA DE ARROZ INTEG KG;KG;
FARINHA DE TRIGO 1KG NITA;UN;
FARINHA DE ARROZ URBANO ZERO GLUTEN 1KG;UN;
FARINHA DE TRIGO SEMOLINA FINA KG;KG;
FARINHA DE AMORA LIOFILIZADO KG;KG;
FARINHA D AGUA KG;KG;
FARINHA DE GLUTEN KG;KG;
FARINHA SECA BARRIGA KG;KG;
FARINHA DE DE SORGO KG;KG;
FARINHA CASTANHA DO PARA KG;KG;
FARINHA DE TOMATE KG;KG;
FARINHA DE CHA VERDE KG;KG;
FARINHA DO FEIJAO BRAN KG;KG;
FARINHA DE LARANJA A GRANEL KG;KG;
FARIN DE TRIGO INTEG FINA KG;KG;
FARIN MANDIOCA GROSSA KG;KG;
FARINHA PANKO 1kg KARUI;UN;
FARIN ESPECIAL SEM GLUTEN KG;KG;
GOMA GUAR DURGA KG;KG;
FARINHA COUVE KG;KG;
FARINHA DE GERGELIM KG;KG;
FARIN DE TRIGO INTEG GROSSA KG;KG;
FARINHA DE QUINUA KG;KG;
FARINHA DE BIJU KG;KG;
FARIN PANKO FINA KG;KG;
FARINHA DE CENTEIO KG RYE FLOUR;KG;
FARINHA DE ARROZ KG RICE FLOUR (LOCAL);KG;
FARIN DE TRIGO INTEG FINA KG WHOLE WHEAT COARSE FLOUR;KG;
FARINHA DE TRIGO SEMOLINA FINA KG SEMOLINA (SUJI) COARSE (YELLOW);KG;
FARIN DE GRAO DE BICO KG CHICK PEAS FLOUR/GRAM FLOUR (BESAN);KG;
FARINHA DE MANDIOCA TIPO1 REFIL 1KG ZAYA;UN;
FARINHA ROSCA RAIZEIRO KG;KG;
FARINHA DE TRIGO INT INFIBRA 1kg SELEZIONE;UN;
FARINHA HUMANA RAIZEIRO KG;KG;
COOKIES BANANA E AVEIA C/CHOC KG;KG;
CEREAL CROCK AVEIA FLOCOS MEDIO S/G 1kg;UN;
FARINHA DE TRIGO SARRACENO KG;KG;
FARINHA DE AMENDOA KG RAIZEIRO;KG;
TRIGO GRAO KG;KG;
SEMENTE DE ABOBORA CRUA KG;KG;
SEMENTE DE MOSTARDA KG;KG;
LOURO EM FOLHAS DESID KG;KG;
LIMAO SICILIANO EM TIRAS CRISTALIZADO KG;KG;
LARANJA CRISTALIZADA CASCA KG;KG;
GUARANA EM PO KG;KG;
GENGIBRE CRISTALIZADO KG;KG;
COMINHO EM PO KG;KG;
CEVADA GRAO PEROLIZADA KG;KG;
CEBOLA FRITA CRISPY DESID KG;KG;
CARDAMOMO INTEIRO VERDE KG;KG;
GENGIBRE DESIDRATADO KG;KG;
MORANGO LIOFILIZADO KG;KG;
MORANGO LIOFILIZADO KG;KG;
PAO CARA KG;KG;
PAO DE QUEIJO KG;KG;
PAO FRANCES C/FIBRAS KG;KG;
PAO FRANCES KG;KG;
BROA CAXAMBU KG;KG;
ZIMBRO KG;KG;
BOLACHA ARROZ TOMATE KG;KG;
RECHEIO FORNO DOCE DE LEITE KG;KG;
PAO FRANCES BOLA KG;KG;
CREME DE CONFEITEIRO KG;KG;
CHOC GOTAS 1/2 AMARGO KG;KG;
DAMASCO KG;KG;
PISTACHE S/ CASCA CRU KG;KG;
BOLACHA ARROZ BARBECUE KG;KG;
XEREM DE CAJU KG;KG;
TAMARA S/CAROCO KG;KG;
SUCO VERDE DETOX KG;KG;
SPIRULINA PO KG;KG;
LINHACA ESCURA SEMENTE KG;KG;
SEMENTE DE CHIA KG;KG;
QUINUA VERMELHA EM GRAO KG;KG;
QUINUA BRANCA GRAO KG;KG;
QUINUA PRETA SEMENTES KG;KG;
PIMEN CALABRESA FLOCOS KG;KG;
PEPITA DE ABOBORA TORRADA KG;KG;
OREGANO DESID KG;KG;
MORANGO GLACEADO KG;KG;
MIX DE VEGETAIS KG;KG;
MIX DE FRUTAS VERMELHAS KG;KG;
PIPOCA AMERICANA KG;KG;
MANJERICAO FLOCOS DESID KG;KG;
MANGA DESIDRATADA KG;KG;
MANGA DESIDRATADA C/ACUCAR KG;KG;
LENTILHA VERDE CANAD KG;KG;
LEMOM PEPPER KG;KG;
HORTELA TRITURADA DESID KG;KG;
GRAO DE BICO MEXIC 9mm KG;KG;
GRAO DE BICO MEXICANO 12MM KG;KG;
GLUTAMATO MONOSSODICO (AJINOMOTO) KG;KG;
GERGELIM PRETO KG;KG;
GERGELIM BRANCO S/ PELE KG;KG;
FUNCHO SEMENTE KG;KG;
FENO GREGO MOIDO KG;KG;
FECULA DE BATATA KG;KG;
TAPIOCA GRANULADA KG;KG;
ERVILHA VERDE PARTIDA KG;KG;
ERITRITOL KG;KG;
CURRY EM PO KG;KG;
ACAFRAO DA TERRA PO KG;KG;
CRAVO DA INDIA PO KG;KG;
CRAVO FLOR DA INDIA KG;KG;
COLAGENO HIDROLISADO KG;KG;
